Tweet,Sarcasm (yes/no)
So what day number does the  opposition claim the  is on? Day 987?,yes
So he broke his nose and his nose swelled too double the size. Then won the match WoW such a big deal,yes
hey nice job identifying your online specials as online only! I'm ordering somewhere else.,yes
What's the signature color of Skinny Girl? I can't tell.,yes
"""It's a way of life."" Truth!",yes
I said it after the Cup Final and I'll say it again now. It's boring when it's this easy.,yes
Shoutout to the teachers who talk all the way through exams distracting students and not letting them do good in exams... Ly all,yes
The right time for sex look at the time what is the answer ? Duh,yes
"well, I feel all cheered up....",yes
"don't be silly, don't you know it's only white people who are racist...",yes
I didn't know there would be a  in  but I'm so happy there is!,no
The Dr rang to see how I was. I told her the truth. Now she's hving the CT ring me. Great,yes
sexism in an Adam Sandler movie?! surely you jest!!,yes
He is so thrilled  lol,yes
This  team is about the best coached in majors.,yes
Wow. Just my night.,yes
Current mood...        …,yes
Don't you just love two faced people??,yes
Good to see Inglis running with a bit of purpose doing the hard yards.,yes
"Less than expected coming to , So,  adds this event... Good strategy.",yes
how big of you smh,yes
Yup. Moses story is totally legit...,yes
that other's wife is better than his own.. lolz,yes
Wow. Big day for me. 50 followers.,yes
well there is just so much to do in Pittsburgh.,yes
Dude lighten up and,yes
...ironic google scholar fav'd this.,yes
Lol yeah Clarke who now??,yes
The moment you realize you have an amazing life.,yes
"Yeah, I totally haven't been listening to podcasts and play ing pokemon tcg online all day. XD",yes
"All lovely Delhi ladies, let's roam on the streets of Delhi post 10PM.",yes
I lve being ignored ,yes
Let's arm every news reporter!,yes
"Lol, I like how everything happens to me all at once.",yes
Worlds Cheapest Flights:  Some little known section of . …,yes
Life is fucking awesome,yes
"Oh, darn... I missed the GOP debate.",yes
"Groups like  ,  are always right in their actions...tats y dey r called Right Wing Groups..!!!",yes
Haha  about right,yes
Perfect day to have a job that requires being outside!,yes
"I dunno man, ball 3 was ppprrreeetttyyyy close...",yes
do you have another interesting topic about our taeyeon? i would like to subscribe.,yes
"WOW WHAT A DIVA CAN'T BELIEVE THIS GUY only about himself &amp; not his team, amirite",no
NUDE VIDEO: Ann knew she was coming to Dubai for prostitution – suspected syndicate head,no
that a trending  topic is  critiquing a journalist about her stupid hair question... We suck.,no
Cuba Won't Move 'One Millimeter' on Human Rights  via  Shit hot leadership from .,no
Wouldn't surprise me if venkys went after big Sam.,no
Celebration of identity. Rejection from the family.,no
"Hahaha pot, kettle and black are words that come to mind",no
- in a shocking twist of deal fall through and you're left with a player that is aware he is disposable,no
The beauty of buying a cup of tea in England's first ever coffee house ,no
STOP THE INVASION ACROSS THE BORDER THIS IS HOW ISRAEL DID IT       … … …,no
MADD President David Griiffin charged with impaired driving,no
Thus the GOP joins identity/special interest politics. What happened to E Pluribus Unum?,no
I never admit or deny anything it makes things more interesting.,no
"We always say that we never become that type of person, but in fact we all are liars",no
Los Angeles using shade balls filled with water....to preserve water,no
"Oh, but this is too precious. Fervent anti-commie and new cold warrior  plugs the Berlin Wall!",no
Nah... Ohno... stupid guy... just created something that every factory use... Management BS.,no
"Man, I just love it when random people that don't know me start following me on here",no
I say nigga &amp; you call me an expired mayo jar lmfao. go be ignorant out my mentions corn,no
Spent most of my day inside because my internet isn't working.,no
Natural  for  without,no
Everybody is watching the  and still trolling  Guess most of them indirectly is an Apple fan.,no
Yes with FOX. MLB WONT DIE  by the way,no
Ban girls who madly love  (most romantic movies) and say tht they won't believe in love. They never get feelings.,no
Intelligence official: Not our job to warn OPM of cyber threat,no
"""Study hard. Make everyone proud""",no
Challenge the status quo! JESUS IS Lord!!!,no
Regardless of political position,no
Carlos Spencer talking Dan Carter,no
"others, and move on in the purposes of God!  Have the  that surpasses all understanding!",no
"just a tad of a reactive mind showing fr the Jive Azzes, Scientology's finest! Rebecca Grant called ME a bully &amp; criminal",no
"Yesterday while at Wrigley, my college catcher from Otterbein sat in front of me",no
Clerk Kim Davis switching parties to become a Republican,no
"Holy shit. Thumbs up.... Seriously, way to go. ",no
"This is my status, what's your?",no
Feeling philosophical &amp; sad this morning. Lost two people who didn't know each other but were part of my life journey - talk about,no
10 types of men I would never date,no
Funny pictures 201 (56 pict),no
I'm addicted to Intervention.,no
Of course if you didn't have those friends that slap would hurt a lot worse.,no
LOL! Al Qaeda says ISIS isn't legitimate!   /via Al Jazeera America TV report,no
Alanis Morrisette this is in action. The peer get removed by laws he set up to remove peers who've misbehaved,no
Rising sea threaten launch site NASA says   Too low to shoot high  Perhaps they can launch from a FEMA tent,no
"Thx to the a-holes preaching outside the Pride festival yest. for allowing me to demonstrate ""turning the other cheek"" for my kids.",no
Just updated my twitter app  but let's see what this will mean for my tweeting,no
Next series vs the Royals.,no
Quality of  and  are two most important parameters to judge quality of human life.,no
"If Marco Rubio does a good job answering tonight, his mom says they can stop for pizza on the way home.",no
This is where we were staying this weekend. No at all!  …,no
Will be approximated tonight...    ,no
"Yep, he's just another selfish athlete.",no
Good morning! Thank you God for another day.,no
spoken by a woman who lives in fear of the truth.,no
I guess its the Halos that NeverEverQuit.,no
After days of intense actions,no
I only saw this because I was buried on my phone ignoring others.,no
Exam time: 8am,no
What time did i wake up? 7:59am.,no
"Props to him for managing the trifecta, then.",no
"So, Chris Hatcher is back from the DL…and the thrill &amp; excitement from my TL is outstanding!   ",no
Say something  ,no
"students with their  !! Pls share your photos with us on , …",no
Photo: So We never forget… //          ...,no
Did you ever realize the major colors in  are red (blood) &amp; black &amp; blue,no
Inuit eyewitness accounts at the time were recorded but dismissed by Brits as savage,no
I'm sure he's never had to think about that before.,no
Article on TheStreet,no
Currently procrastinating writing a paper on time management.,no
“: I love irony....,no
I've been waiting all summer for this day,no
Everyone who have nothing to do with Islam talks about its reform.,no
"The Big Bounce just started on TV here in Nairobi, Kenya.",no
"Lack of sleep, stress, and non-stop dancing is really effective weight loss. ",no
Wish I'd gotten the flu shot b4 I'd gotten the flu!,no
Seeking an  model that aligns to the needs of  &amp;  today?Look no further than :,no
"K2, a Potent Drug, Casts a Shadow Over an East Harlem Block",no
Being up and ready before my old alarm used to even go off ,no
A Con MP on  demanding the EC do something to make France ensure free movement at Chunnel!,no
This  bottle has my ex's name on it...   (pours soda down the sink)...,no
A devout believer in 1 faith supporting an atheist against a believer in another faith.,no
is peace of mind. &amp; our visitors say it is easy to find  of mind in .,no
oh the,no
Arnold Schwarzenegger Is The New Host Of 'The Apprentice': 'The Terminator is replacing Donald Trump',no
"Politicians and diapers must be changed often, and for the same reason. ~ Mark Twain",no
And  has a bleeding heart  but dislikes Asian migrants at the same time.,no
Max Verstappen to sit driving test after finishing fourth in Hungary F1 GP,no
Vick yesterday National Dog Day today...,no
Landlords ultimate irony?,no
Because there was no DV before men stopped opening doors for women,no
"Sometimes when you expect people to be a little smarter, they turn out to be more idiotic than ever..",no
"Ahh, Labor Day weekend... when a bunch of  players lose their jobs. Good luck, guys! Stay in shape.",no
Right. Giant wall. Should work. And our heroin addition is the fault of the Afghan/Mexican/Laotian farmers.,no
"Weird class this morning, professor shows up a little late, complains we shouldn't be late",no
10 types of men I would never date,no
Would this qualify as ?,no
But believe in Adam &amp; Eve?,no
"When you're always late, you're being rude and selfish -",no
they're a bigot!  D:,no
Review of       …,no
For all the days/nights with no rain... Tonight has just enough clouds to block my view of the eclipse.,no
Never be late again!,no
"Pay attention to me, The Internet!",no
I'm not in the slightest bit jealous!  Have an awesome time!,no
just had a call disconnected because I have no signal...because the signal box you provided doesn't work,no
Hulk Hogan turned out to be a big racist? Never could have seen that coming...,no
I am now offended and must ignore everything else you say and focus on this only,no
"Yes, we have no chance to meet Indian actor....... but at the German actors works it ",no
"Ha, sure! Some their antibodies are great. Just not the goat antibodies. Srsly, they all suck.",no
4 days of hard working out/eating healthy and  4 days of being lazy/eating junk food,no
Tired from doing nothing today!,no
safer from outside food maybe,no
Amazing sunset tonight after looking at Turners earlier     …,no
Why is that I'm inside  and I have  as my service provider but I can't get decent cell service?,no
VW Golf being promoted with the line 'Let's get dirty!'.,no
Tweeting instead of finishing this well-constructed argument that I don't have problematic Internet/social media usage.,no
Here's my newest Project:Women post…How to create a sacred space in your home &lt;3    ...,no
united fans talking about empty seats,no
Radio Everyone aims for global audience  via,no
"British Airways plane catches fire in US, 7 hurt",no
Love this pic!           …,no
"Haha, a bunch of old, cranky Republications lost their Boehner.",no
"I would love to see ,  and  on the same TV show",no
at its finest.  Read through all tweets to get to this understand.  !,no
Celebrated  by inadvertently locking Rigo in the dark bathroom all day.  I closed the door to keep him out.,no
With  in schools and ability to measure capability every millisecond will exams die the death we all want them to?,no
Shock! 5 out of 6 again for 500 notes from a 5er lol I love football,no
Wind in Crowsnest pass? No way!,no
So glad I'm not working from work because otherwise I'd have missed the big announcement.,no
Choose what has authority of over you.,no
"Pandora says they are ad free today, but I just got an ad advertising being ad free for today.",no
when LTE becomes more reliable than DSL connection!   ,no
content distributed in seconds.,no
Donald Trump vs. the entire GOP?        …,no
I love the huge Insurrection figure the most... and I hate the movie.,no
thinking of him ,no
Oh goody. You’ll be able to learn about words like ‘synergy’ ‘take away’ ‘off line’,no
andrew bolt found one his own kind!!! hahahahaha bolt calls trump an idiot.,no
"Well so much 'celebration' of Independence by political parties, the same who signed petition for Y. Menon !!",no
Yeah...and I'll be voting on eminent domain....  Really?  NRO?  FIGURES.,no
The people are the MVA are super nice!,no
It is ironic that my really expensive Age Defying Lotion smells exactly like an old lady.,no
I'm gonna lose sleep tonight while writing a paper about how sleep can help you,no
"Legislature wraps up, leaving Brown with decisions to make: SACRAMENTO — California lawmak...",no
"Drug Goes From $13.50 a Tablet to $750, Overnight",no
"Yeah, right, fucker.",no
I got  on my ! book!,no
LOOOOOOOL when Americans tell immigrants to get out of their country,no
Kings of Leon - Use Somebody comes on during shuffle mode,no
"""Who the fuck asked you?"" replies yet another idiot when you disagree with their shitty opinion on a public platform like Twitter.",no
Darn! The 2nd game of the  is over and our  have lost. See y'all Monday at Wrigley.,no
"If you want to hide your face, go out naked.",no
RedSnapy: Loyal audience      …,no
no chip wanted him cause he was from Oregon  # eagles,no
Taylor presenting Kanye an award,no
Brilliant        @…,no
Reminiscent of 'Fat Man' atomic bomb design during WWII: Christie threatens to 'go nuclear' at CNN debate,no
You can always pick out insecure people. The people who try and act like they have it all together are usually the biggest messes.,no
. ordered to remove  to stories about  removing links to stories,no
"While watching an online video, I just saw the  advert which showed  running rings around Falcao",no
050 Boyz &amp; Treach (Naughty By Nature) interview on,no
"Indeed! Another truth, which should be educated to Europeans, are the facts abt . Scary comments around there.",no
Wait...hold up...did the Steelers really sign Michael Vick on National Dog day yesterday?,no
Yay! Pills Drunk Daddy is on duty again tonight. Wish me luck!,no
Sleep? Sleep is absolutely overrated. X,no
This is such a nice feeling.. ,no
"The Latest: More than 4,000 migrants arrive in Munich",no
they have 666 thousand followers and the song was playing when we seen Ferguson,no
Would love to see UCLA win this on a Hail Mary.... ,no
"""The Buffalo Bills are the best team in the NFL"" : submitted by davurl[link] [comment]",no
It can be done with heart... Coming from a man that doesn't have one!,no
White House: Carson's remarks about Muslims against US constitution,no
Injured bat on the field at Camden Yards. Didn't  write a song that applies???,no
really???? I just can't believe they would do such a thing!,no
"Shane Greene is off to a terrific start tonight, allowing four runs in the top of the 1st.",no
today,no
Hmmm...another incident involving 49ers fans...I wonder what Eagles fans did to cause this...,no
I'm so indoors daddy says I'm anti-social but that's how he made my childhood,no
Biking to the dmv to get my drivers license renewed,no
"As a feminist, disappointed  for being just as    as she accuses trolls of being.",no
Thousands of microbes in house  via,no
Once again....Giroud is not guilty....lolzzz,no
Want to create more  and meaning in your day? Surround yourself with truth and beauty!,no
Perception - Student and Teacher,no
So this landed in the office and I'm here in  for ...,no
just proof New York can't sustain sports teams,no
CAPCO-funded blog  praises area's food/ pub/ cultural/ live music  - now dying thnx 2 Capco EC1/2 cull,no
Can't wait to hear Hoagie's abortion show.,no
We're also 54% through this  abysmal season being over too.,no
A Palestinian attacks an Israeli ambulance carrying what was in fact a Palestinian stabbed by a Palestinian who thought he was a Jew,no
If a New Zealander pronounced my gym's name 'Fox Fit' it would be 'Fox Fat',no
A long walk to freedom         …,no
Too  when you're  &amp; in Hell- change your mind bout Jesus Christ's offer of Salvation-hear  is all crap-JesusSaves-Ask Now,no
even more ima   see da  smh ......   WESTLONDON…,no
I need to go back. I can't wait to plan another    mdepetris @…,no
14 hr workday after a 5 am heavy lift session this morning; my body isn't mad at me at all.  Gotta help when help is needed though.,no
Daily  on  is out!  Stories via,no
because your really going to make tons of money of of it when no one can afford it.,no
I NEED MY EMOTES &amp; EXOTIC CLASS ITEMS NOW!!!!!!!!!!!!!!!!,no
Being ignored is so fun -.-,no
Alanis thinks this is  probably,no
 Just got this email...,no
"Tackles truthiness by distorting truth and taking things out of context, that's logical",no
In Nigeria we stress on the importance of good Parenting but turn right around and allow house-helps raise our kids.,no
Thank you  you're awesome!!,no
he seems like an angry egotistical fool.,no
Do they know that they are the evil regime hellbent on destruction or must they be notified?,no
It's a process to get WH tour these days but apparently jumping the fence/walking through the front door is a breeze.,no
Brewed in Holland RT  When u see it....,no
Another sucker in my life  in,no
"No, officer I'm not shaking because I'm cold. I'm shaking because cops are number 3 on the list of things in most afraid of",no
I just need 1 day like this.. Guess I gotta give somebody the time of day.  I hate wasting my time,no
Irish Accents seriously go through me.,no
My east coast lifestyle tank is being shipped from Toronto.,no
"""YouCanBook.Me -Streamline Meeting Scheduling""",no
So that's why there is so much  going on on . ,no
Jared from subway is gonna have plenty of foot longs in prison,no
I'm afraid the  has just been found to be a major contributor to climate change.,no
More senators line up behind Iran nuclear deal,no
Spam is another person's sandwich,no
Delta sends me a survey on a flight that was normal but not on the terrible one with huge delays.,no
Watching Age of Ultron. These Avengers movies have so many destroyed cities. Good thing nobody died like in Man of Steel.,no
WOW real classy,no
"Its all about that bandwagon, im sure people were tucking into there steak whilst piping up on the issue",no
"Just saw guy on an e-bike wearing a construction helmet, Flip a driver the bird and yell ""idiot"".",no
"Either way, he’s going to destroy me 's   Wonderlust",no
"haven't you heard? McDavis is a bust, he wil be gone after 9 games.",no
140 characters minimum.  of being a broken record about something that has outlasted the LP by 25 years?,no
This wins the internet today!,no
"Love it! Seriously though, sadly so true.",no
Suspected  found on   grounds,no
Fiorina looking to capitalize on another strong debate,no
"A muslim woman goes on air looking for equal respect for religions and beliefs, then says woman who are raped share blame.",no
U r fighting for  more than he himself does ;-),no
Buddha          …,no
3 years ago today I didn't see Nicki in Atlanta but 4 years ago today I did see her in Miami ,no
"Out of thin air, Huckster?",no
14 Things That Still Bother Me About 'Jumanji',no
¤   guitar pick  handmade,no
That Corbyn is a right Bastard!!!,no
MONEYPLANT per BHI mONeY naHI HOTa,no
"They will continue to call themselves ""fiscal conservatives"" and accuse Obama of turning America into Greece",no
Top Blogger templates      …,no
Employer code      -reads,no
tweet..had a boom braai day yesterday .,no
annoyed by everyone and everything even when i know im the annoying one.,no
"Funny how really good looking people tell the rest of us how attractive 'a good heart' is, but they sure won't date us!",no
Man gives me attitude for telling him to hush during Angry Indian Goddesses,no
"Upon searching for the  keywords 'Google Logo' and 'New Google Logo',  throws up its old  for more than 10 rows!",no
GMA President Says Christian Music Continues to Impact Culture as 215 Million Americans Listen ...,no
nice BrightSpots work in Hispanic Ed see  BrightSpotsSchoolsConnection AUS now 2 year+strong,no
Vendor emails me about a regression fix failing to make it through code review while  and  present about testing,no
"CBS Marketwatch:  Futures Movers: Oil prices rally 2%, try to regain $39 level . More   -",no
michael vick signing on national dog day?  much?,no
I think I’m on the good side of crazy.,no
I feel like the only one who didn't drink last night. Ya kno wat we call that?,no
: by the company that recommended we replace 2 meals/day with flavourless cereal so we can be thinner.,no
The hipster Barbie insta is soooo  and yet I can't stop laughing,no
I've been there....,no
Jeremy is so angry at Dara because Chaerin had to babysit her instead of cheering on him at his premiere...,no
Happy ! Think,no
Broncos finally at full strength and just in time,no
"Even ""landslides"" can end up meaning little.  See",no
as  tourney gets temp weather delay,no
will be throwing  when back,no
Nice neutral piece 3d before Catalan elections.,no
I saw this play in the same news channel u refuse to give interview but give them money to run this?,no
Aguilar wearing a Lucha mask on the way to the Octagon.,no
Who would vote for VP Joe Biden? He faces many complicated questions in deciding if he'll run …,no
"Sheep mostly misunderstand the role of the shepherd. Protecting their investment so They can milk, fleece and slaughter at will.",no
"So  is doing a day of no ads, but I've heard this ad 3 times already",no
just been blocked by one of your trolls who berates you for blocking people who don't agree with you,no
"hear ""Game Of War"" by Ana Luiza Brown guitar on ?",no
It's interesting to think that making changes and looking out for myself makes me the asshole,no
Guess what time it is!?  Try to say it without singing it!    …,no
Oh the irony    by robstar_2001,no
night  on Dem arms doe Better late than Neva.. A girls gotta do what she has…,no
the one day I'm not wearing one,no
Christ this 48 hrs till Pedro signs seems like a long time......,no
The Sun is setting        …,no
Wor Lass has won 5 in a row and going for a 6th at Newcastle today,no
"I agree on the waste, but those with large paychecks see no value in currency",no
It's okay I didn't want you to respond anyway,no
Obviously a Jeb Bush comic book is everything I need. OBVIOUSLY,no
$$$=&gt;&gt;     for the use of    &amp;,no
"Its a fine, thin line.",no
Margot wows at charity event,no
A bigot begging for humanity,no
Ya bitches bring up mah past more than I do,no
Yay doctors are going to take my blood! ,no
"My reaction to the last  ep, where they were protecting the body",no
ORAYT LAST PLACE WOOHOOH,no
Then why the hell stock market is going down???,no
"Emily Kinney Took Our ""What Kind Of Coffee Are You?"" Quiz     …",no
Peaople quoting Kalam under so called secularism.,no
is the heart of wellbeing and happiness,no
"Yeah, it sucks when someone does something to you that you clearly don't want them to do, doesn't it?",no
Watching a commercial for how great  wi-fi is...while my Xfinity internet is down.,no
Gatherings are always fun,no
"When we are captured by the love and grace of God, we then experience more freedom then we can imagine.",no
"For years I was the jerk telling everyone: No line in the song Ironic is ironic. Then a girl says, ""that's the irony"". MIND BLOWN",no
*Kitchen Addiction!*,no
till 8/26!,no
"""Like Tx, Fla, SC and LA""   Was that endorsement for those governors? That's a NO NO!! u Pledged!",no
"Hey, , my mailbox won't be so full if you stop sending me ""Your mailbox is almost full"" messages",no
You can't master what you don't understand.,no